date,PE,OBV20,CCI20,MOMENTUM3M,REVS10,BETA21,CAPMALPHA21
2012-01-04,10.8752,26266455.77029,3.718459,-0.01902,0.015863,1.498289,0.622468
2012-01-05,10.7381,26247723.703295,-60.911714,-0.022478,0.001914,1.557191,0.634799
2012-01-06,10.7293,26220919.533955,-84.882308,0.015522,0.001917,1.492145,0.634807
2012-01-09,11.4985,26205367.61188,127.737688,0.029376,0.08875,2.04469,0.698892
2012-01-10,11.8301,26208194.68785,287.986617,0.099872,0.11404,1.824052,0.736096
2012-01-11,11.7107,26204817.97866,243.044039,0.03423,0.121554,1.827289,0.768945
2012-01-12,11.7107,26207524.653455,191.07938,0.009697,0.125079,1.824204,0.802663
2012-01-13,11.64,26206313.338015,140.053961,-0.013806,0.10392,1.849586,0.851684
2012-01-16,11.5029,26204060.647965,100.569677,-0.04898,0.068015,1.798689,0.912637
2012-01-17,12.1041,26209628.83604,138.141834,-0.059611,0.122461,1.642553,0.979
2012-01-18,11.8831,26211698.1456,128.774692,-0.047447,0.142411,1.694452,1.055175
2012-01-19,11.9804,26226051.01688,114.712481,-0.023544,0.178981,1.624996,1.11905
2012-01-20,12.1484,26253176.16355,121.28995,-0.016939,0.204719,1.60749,1.168213
2012-01-30,11.7947,26269463.557875,77.692904,-0.066229,0.038462,1.705683,1.177157
2012-01-31,11.8698,26287224.323685,63.79963,-0.082569,0.004953,1.708589,1.158647
2012-02-01,11.7461,26301851.565865,55.209415,-0.070125,0.004469,1.690139,1.141782
2012-02-02,12.0423,26326553.53265,69.359802,-0.103874,0.041899,1.66574,1.129287
2012-02-03,12.0909,26351630.948265,81.114836,-0.145542,0.057497,1.692238,1.101011
2012-02-06,12.0909,26372626.80607,89.833504,-0.126156,0.076305,1.69444,1.063383
2012-02-07,11.8875,26384001.89083,47.418039,-0.104281,-0.026078,1.679069,1.016914
2012-02-08,12.2147,26411664.715435,98.942558,-0.100967,0.041006,1.65235,0.966247
2012-02-09,12.1705,26436384.099415,100.518079,-0.140633,0.023231,1.62632,0.917791
2012-02-10,12.1351,26458550.864645,91.746278,-0.159529,-0.001588,1.622885,0.875913
2012-02-13,11.9981,26459666.235735,56.939378,-0.156082,0.025428,1.637285,0.843056
2012-02-14,11.9981,26446611.417765,19.471488,-0.075862,0.015882,1.411574,0.740383
2012-02-15,12.0732,26449836.905655,41.531601,-0.043684,0.041157,1.415726,0.656329
2012-02-16,11.9848,26446744.762685,2.717919,-0.025054,-0.006971,1.41141,0.579442
2012-02-17,11.9759,26445949.72792,8.202834,-0.030336,-0.013859,1.412032,0.503781
2012-02-20,12.0334,26460063.09394,55.972537,-0.09351,-0.00693,1.460224,0.422919
2012-02-21,12.0909,26466320.86465,25.283134,-0.121914,0.025137,1.516482,0.323905
2012-02-22,12.1837,26488270.118955,85.813314,-0.001594,-0.003676,1.410196,0.217976
2012-02-23,12.2721,26511328.214665,151.802026,-0.027128,0.012144,1.400828,0.116437
2012-02-24,12.4313,26538134.825215,237.716763,0.026053,0.035525,1.453692,0.028811
2012-02-27,12.3827,26560190.473265,221.188823,0.071469,0.0469,1.446759,-0.062986
2012-02-28,12.3385,26567360.71858,137.788046,0.035489,0.041509,1.332256,-0.12023
2012-02-29,12.197,26573893.790845,55.430148,0.07475,0.014957,1.34087,-0.176333
2012-03-01,12.1572,26568272.34397,19.264296,0.045957,0.021058,1.390676,-0.241742
2012-03-02,12.2942,26565468.382645,87.752131,0.099646,0.038919,1.286526,-0.310967
2012-03-05,12.2235,26555614.79632,71.275328,0.089431,0.023081,1.273376,-0.361278
2012-03-06,11.8875,26543158.349055,-88.326127,0.068337,-0.02452,1.415422,-0.424505
