date,PE,OBV20,CCI20,MOMENTUM3M,REVS10,BETA21,CAPMALPHA21
2012-01-04,8.2595,108533222.00021,64.663846,0.166096,-0.012635,1.265169,2.110304
2012-01-05,8.423,108537905.264275,108.938426,0.162078,-0.001234,1.264731,2.166181
2012-01-06,8.4527,108539881.974435,107.767907,0.120572,0.011257,1.225212,2.212251
2012-01-09,8.6829,108572879.476785,166.292113,0.166871,0.048791,1.092928,2.232548
2012-01-10,8.7572,108624002.40179,193.124251,0.135136,0.072045,0.879689,2.232543
2012-01-11,8.6532,108676052.652575,157.556678,0.02145,0.059713,0.866366,2.241571
2012-01-12,8.7275,108750437.67914,152.548821,0.013404,0.083413,0.86163,2.247453
2012-01-13,8.5938,108807911.64008,112.762246,-0.011939,0.058953,0.898524,2.236126
2012-01-16,8.5344,108864898.38227,65.381745,-0.030959,0.07346,0.902918,2.201036
2012-01-17,8.8018,108908627.958055,102.363844,0.0,0.078265,0.885686,2.1572
2012-01-18,8.6829,108954884.67603,95.49576,0.043275,0.072943,0.795919,2.035474
2012-01-19,8.7423,108998424.669005,95.989125,0.046293,0.053536,0.774228,1.924403
2012-01-20,9.0023,109073471.428385,143.158169,0.033414,0.091677,0.833481,1.806056
2012-01-30,8.8686,109128100.62058,123.157361,-0.001241,0.029838,0.865301,1.683835
2012-01-31,8.8463,109185780.445585,97.302549,0.002513,0.014147,0.866239,1.556456
2012-02-01,8.6235,109238408.33348,38.977811,-0.010002,-0.004802,0.933182,1.447749
2012-02-02,8.876,109307369.37645,73.31001,-0.033155,0.023683,0.98853,1.35093
2012-02-03,8.9206,109388302.42098,110.09187,-0.044159,0.05327,0.989706,1.239151
2012-02-06,8.7646,109460243.232695,62.277798,0.001273,0.037889,1.006417,1.11113
2012-02-07,8.5864,109510063.723315,-39.756109,-0.039082,-0.033947,1.030821,1.015085
2012-02-08,8.772,109585878.451435,7.934831,-0.037659,0.014316,1.005298,0.909829
2012-02-09,8.7423,109632912.910805,1.520056,-0.018833,0.0,1.026152,0.804573
2012-02-10,8.6681,109654850.114705,-34.075052,0.005013,-0.051049,1.098252,0.65738
2012-02-13,8.5418,109636224.51079,-142.315749,0.046679,-0.050986,1.110347,0.501454
2012-02-14,8.5121,109591480.901405,-183.548922,0.074334,-0.052317,1.084684,0.364803
2012-02-15,8.5121,109553440.301395,-137.242102,0.081617,-0.018062,1.161335,0.249269
2012-02-16,8.4749,109489659.37951,-138.561112,0.088763,-0.062473,1.148669,0.140302
2012-02-17,8.4378,109419507.814655,-131.220107,0.116376,-0.074691,1.154941,0.015493
2012-02-20,8.4601,109382203.3373,-108.955621,0.069915,-0.048277,1.161436,-0.099813
2012-02-21,8.4749,109347767.649785,-108.527855,0.077722,-0.018171,1.237345,-0.22628
2012-02-22,8.5492,109346927.85602,-72.532877,0.16662,-0.035274,1.378892,-0.345566
2012-02-23,8.5195,109314741.72632,-59.2292,0.159013,-0.035462,1.427598,-0.445181
2012-02-24,8.6978,109294668.55756,-5.831614,0.178235,0.004768,1.544725,-0.534215
2012-02-27,8.6384,109251835.63958,25.863389,0.228649,0.015882,1.453016,-0.645237
2012-02-28,8.7052,109243565.74035,49.450737,0.177322,0.031897,1.53544,-0.748674
2012-02-29,8.5938,109233056.805185,4.704445,0.204451,0.01348,1.503291,-0.844581
2012-03-01,8.5641,109200849.803615,-21.259021,0.146358,0.014811,1.448627,-0.925756
2012-03-02,8.6755,109165301.358295,33.862902,0.185121,0.039732,1.327974,-1.016592
2012-03-05,8.5641,109127853.63329,24.924777,0.208281,0.017326,1.339646,-1.108892
