date,PE,OBV20,CCI20,MOMENTUM3M,REVS10,BETA21,CAPMALPHA21
2012-01-04,8.3745,121889077.164415,,-0.066213,-0.098155,1.239549,-0.008213
2012-01-05,8.138,121724052.21599,,-0.061652,-0.110381,1.311437,-0.039943
2012-01-06,8.2256,121568975.30975,,-0.030619,-0.080465,1.338648,-0.09585
2012-01-09,8.5409,121460859.875385,,0.014479,-0.011318,1.433563,-0.161725
2012-01-10,8.865,121408451.626955,,-0.017723,,1.497312,-0.212048
2012-01-11,8.83,121342516.16759,,-0.098381,0.071777,1.504323,-0.266624
2012-01-12,8.7862,121281003.050415,,-0.104521,0.06444,1.513627,-0.328967
2012-01-13,8.5847,121207597.13011,,-0.138176,0.011497,1.5357,-0.405505
2012-01-16,8.611,121176796.21918,,-0.153962,0.033635,1.385737,-0.468029
2012-01-17,9.2067,121167779.65356,,-0.140909,0.115123,1.583695,-0.514296
2012-01-18,9.1716,121142660.19888,,-0.117673,0.133844,1.541361,-0.52985
2012-01-19,9.4958,121174290.047325,,-0.119196,0.237416,1.58143,-0.52051
2012-01-20,9.6447,121265292.91608,,-0.138527,0.244414,1.559382,-0.484666
2012-01-30,9.3556,121352157.7114,,-0.201593,0.133067,1.614343,-0.463489
2012-01-31,9.3644,121458435.20672,107.825151,-0.223113,0.077465,1.610216,-0.427236
2012-02-01,9.1716,121549316.90048,76.241772,,0.053278,1.635429,-0.383414
2012-02-02,9.4607,121664212.43018,84.787676,-0.260876,0.105942,1.612077,-0.315233
2012-02-03,9.5483,121782025.002065,98.904937,-0.276539,0.156306,1.645325,-0.267957
2012-02-06,9.4958,121899255.319265,90.308878,-0.246804,0.142879,1.655932,-0.251857
2012-02-07,9.2154,121975484.45678,45.9607,-0.27161,0.001304,1.682104,-0.218802
2012-02-08,9.5921,122104191.60367,73.251662,-0.28207,0.062285,1.712733,-0.159074
2012-02-09,9.522,122222704.480245,77.977811,-0.290235,0.003726,1.749165,-0.119398
2012-02-10,9.6096,122356738.72557,92.088382,-0.325467,-0.00485,1.705537,-0.044613
2012-02-13,9.5921,122434034.752145,78.527107,-0.297729,0.034112,1.708035,0.031438
2012-02-14,9.522,122452539.17247,67.070669,-0.254043,0.022704,1.737225,0.104792
2012-02-15,9.7148,122533541.363105,96.468722,-0.225298,0.080435,1.777838,0.174879
2012-02-16,9.7498,122667239.6428,112.428966,-0.206105,0.041054,1.762353,0.253724
2012-02-17,9.7586,122847809.27406,127.430788,-0.208104,0.029478,1.759936,0.34066
2012-02-20,9.7761,123041704.764695,153.756852,-0.251911,0.039626,1.743825,0.431928
2012-02-21,9.8374,123218500.83502,126.111927,-0.239823,0.091516,1.889747,0.470347
2012-02-22,10.1528,123496145.205345,205.002955,-0.133138,0.078149,1.914138,0.501238
2012-02-23,10.0827,123698662.560045,181.518787,-0.138577,0.07892,2.050528,0.488011
2012-02-24,10.328,123918715.420995,192.866203,-0.068066,0.099901,2.003508,0.455659
2012-02-27,10.4769,124245107.56632,214.49505,-0.053911,0.123336,2.029648,0.42403
2012-02-28,10.5207,124586549.924145,173.525153,-0.096942,0.140586,1.990657,0.411315
2012-02-29,10.3367,124908720.42103,122.795493,-0.059325,0.085254,2.000271,0.388141
2012-03-01,10.3805,125229954.925725,108.738993,-0.081078,0.086041,1.99307,0.36631
2012-03-02,10.7222,125578202.908545,136.879449,-0.034822,0.131295,2.087819,0.334915
2012-03-05,10.7484,126003425.217925,148.30398,-0.028634,0.132159,2.018975,0.331648
2012-03-06,10.6696,126419004.516365,109.215315,-0.050551,0.112173,1.847159,0.362991
2012-03-07,10.5908,126750717.05543,84.159078,-0.027563,0.056637,1.770068,0.39776
2012-03-08,10.9236,127181847.76012,117.984448,-0.021498,0.109738,1.866393,0.431406
2012-03-09,10.9236,127569705.605435,115.67765,-0.008559,0.07532,1.710762,0.476942
2012-03-12,10.8273,127942371.635125,97.706494,0.017352,0.043487,1.749025,0.49302
2012-03-13,10.8974,128354152.70388,94.917944,-0.004861,0.046496,1.679371,0.50933
2012-03-14,10.4944,128651225.491385,57.072584,-0.035668,0.019916,1.709323,0.527753
2012-03-15,10.4243,128867803.600765,-0.774824,0.002395,0.005502,1.689979,0.537881
2012-03-16,10.7747,129106075.947645,45.574965,0.014549,0.00633,1.793834,0.543228
2012-03-19,10.7309,129275560.38515,46.511441,0.029478,-0.002103,1.788047,0.538542
2012-03-20,10.2929,129367951.549215,-45.680052,0.068718,-0.045657,1.946538,0.517459
2012-03-21,10.1703,129354707.053905,-119.115811,0.092939,-0.051457,1.963512,0.520754
2012-03-22,10.2842,129400753.235155,-112.583462,0.186876,-0.075195,1.892109,0.519116
2012-03-23,10.2053,129361474.297655,-120.673813,0.143827,-0.084466,1.868993,0.561188
2012-03-26,10.2053,129245308.341405,-115.885051,0.197663,-0.073973,1.86721,0.603586
2012-03-27,10.2404,129110080.83828,-86.434468,0.253455,-0.077495,1.844275,0.634303
2012-03-28,10.0389,128981058.29453,-126.401758,0.283015,-0.056411,1.641609,0.66727
2012-03-29,9.89,128794803.32578,-154.81394,0.278699,-0.066753,1.630838,0.703561
2012-03-30,10.1528,128590677.36953,-92.044083,,-0.074438,1.69574,0.752717
2012-04-05,11.1787,128409174.89453,47.202372,0.388102,0.001054,1.905027,0.822249
2012-04-06,11.3246,128304714.347655,88.349287,0.392496,0.074543,1.921569,0.875919
2012-04-09,11.197,128226386.516405,70.653847,0.353545,0.075722,1.973632,0.901281
