date,PE,OBV20,CCI20,MOMENTUM3M,REVS10,BETA21,CAPMALPHA21
2012-01-04,59.4024,29517528.4874,97.690911,0.082251,0.104575,-0.007236,0.953794
2012-01-05,58.1834,29584433.900285,77.922078,0.03139,0.061688,-0.200984,1.189682
2012-01-06,58.9591,29659875.866295,78.065104,0.040359,0.070513,-0.166804,1.434988
2012-01-09,60.289,29748339.57996,101.08729,0.049774,0.130719,0.096937,1.751399
2012-01-10,60.8432,29840750.899095,107.083333,0.049774,0.057229,0.039534,2.055788
2012-01-11,59.7349,29920401.63893,86.409156,0.051948,0.036474,0.115379,2.286785
2012-01-12,59.5133,29996751.302205,82.614016,0.106383,0.066038,0.206871,2.439653
2012-01-13,59.1808,30063044.806105,36.401925,0.107296,0.053292,0.211529,2.585751
2012-01-16,57.8509,30111541.07485,9.235936,0.220779,-0.018182,0.511248,2.622596
2012-01-17,60.8432,30169922.997115,108.315296,0.38009,0.041543,1.143397,2.601296
2012-01-18,58.8483,30218662.27465,52.913199,0.378995,-0.014793,1.330035,2.595741
2012-01-19,59.4024,30262356.14086,50.188763,0.471154,0.033639,1.302358,2.554445
2012-01-20,60.1782,30302694.392615,69.199539,0.466667,0.032934,1.307397,2.466281
2012-01-30,59.5133,30342292.63734,59.549746,0.444444,-0.020231,1.366338,2.40637
2012-01-31,60.954,30370576.350815,104.279687,0.366071,0.002849,1.355285,2.416681
2012-02-01,60.954,30412405.329915,132.427844,0.424893,0.032258,1.270446,2.337595
2012-02-02,61.3973,30462176.88167,119.407543,0.305556,0.050147,1.217677,2.228689
2012-02-03,61.1756,30504122.475415,119.416033,0.251969,0.053571,1.173829,2.140017
2012-02-06,60.5107,30528899.398065,85.66108,0.143369,0.074074,1.185703,2.066185
2012-02-07,59.7349,30540023.07853,-11.494253,0.18705,-0.02849,1.184295,1.952684
2012-02-08,60.8432,30550058.14005,50.635386,0.18662,0.054054,1.16932,1.78709
2012-02-09,61.0648,30566679.44698,87.861503,0.220217,0.044379,1.242191,1.564318
2012-02-10,60.1782,30569291.389845,13.157895,0.155477,0.0,1.223528,1.331033
2012-02-13,60.3999,30563344.615915,-9.271523,0.176056,0.023599,1.212705,1.086161
2012-02-14,59.6241,30545392.383,-44.620288,0.145695,-0.034091,1.232607,0.801666
2012-02-15,59.6241,30534973.33993,-74.074074,0.173913,-0.034091,1.318575,0.516328
2012-02-16,60.954,30540515.29803,59.304703,0.152027,-0.011236,1.236803,0.315808
2012-02-17,60.6215,30545369.571755,45.159848,0.126246,-0.014124,1.237783,0.153968
