date,PE,OBV20,CCI20,MOMENTUM3M,REVS10,BETA21,CAPMALPHA21
2012-01-04,14.7404,71068550.00003,-60.02223,-0.056392,-0.034373,1.222931,-0.300014
2012-01-05,14.5973,71066746.95707,-91.397849,-0.069712,-0.038072,1.166485,-0.257394
2012-01-06,14.5973,71064451.45361,-106.057177,-0.080614,-0.024567,1.128033,-0.227399
2012-01-09,15.0743,71064509.35074,-34.386533,-0.080135,0.024917,1.101393,-0.204401
2012-01-10,15.5991,71068024.18229,106.920168,-0.085817,0.05283,1.112327,-0.180803
2012-01-11,15.456,71069694.64587,151.810585,-0.11784,0.034974,1.120046,-0.164377
2012-01-12,15.3605,71071350.91052,129.356897,-0.122882,0.046275,1.139597,-0.163167
2012-01-13,15.0743,71072107.12561,60.327198,-0.163874,0.024917,1.105264,-0.158417
2012-01-16,14.8835,71073106.38919,-16.666667,-0.178001,0.007094,1.06053,-0.143106
2012-01-17,15.5037,71075323.578255,93.352192,-0.187899,0.038471,0.988686,-0.122871
2012-01-18,15.2651,71074267.42689,112.783595,-0.159916,0.039156,0.974834,-0.107035
2012-01-19,15.5037,71075737.564585,99.875931,-0.131371,0.068363,0.976607,-0.102124
2012-01-20,15.5991,71079530.605745,120.875046,-0.137342,0.075559,0.962995,-0.095065
2012-01-30,15.4083,71083070.749445,90.419806,-0.164257,0.024311,0.956102,-0.092504
2012-01-31,15.2651,71085055.340605,45.878136,-0.19024,-0.023417,0.955211,-0.078594
2012-02-01,15.2651,71086383.923755,41.833556,-0.19322,-0.013517,0.919856,-0.059702
2012-02-02,15.456,71089580.05593,51.310044,-0.189839,0.006804,0.92096,-0.066409
2012-02-03,15.5037,71094533.49963,71.593533,-0.210716,0.031258,0.910957,-0.072445
2012-02-06,15.5037,71097989.214815,78.132927,-0.206255,0.045786,0.909757,-0.077309
2012-02-07,15.2174,71098084.74055,17.681729,-0.198903,-0.020207,0.91736,-0.087509
2012-02-08,15.5037,71100875.025755,40.558591,,0.017127,0.901387,-0.107638
2012-02-09,15.5991,71108073.23586,108.348135,-0.208492,0.006736,0.902303,-0.127121
2012-02-10,15.7422,71118299.89987,140.449438,-0.221332,0.010036,0.896393,-0.146027
2012-02-13,15.8376,71128921.16974,174.327122,-0.214732,0.030516,0.891185,-0.147574
2012-02-14,15.5037,71131860.984535,95.347501,-0.179523,0.017127,0.891105,-0.161429
2012-02-15,16.1238,71143546.27511,228.380315,-0.153005,0.061659,0.903179,-0.160122
2012-02-16,15.9807,71153199.41022,173.221757,-0.142058,0.037171,0.904178,-0.154629
2012-02-17,16.1715,71166816.2799,194.361277,-0.147856,0.047149,0.897913,-0.12768
2012-02-20,16.1238,71179121.5215,186.041083,-0.179523,0.043781,0.879267,-0.104809
2012-02-21,16.1715,71190701.458025,130.238556,-0.188609,0.068745,0.88592,-0.095174
2012-02-22,16.3623,71207660.334,143.895905,-0.129059,0.06062,0.865662,-0.088833
2012-02-23,16.2669,71219535.22326,131.176061,-0.146229,0.046834,0.842725,-0.081218
2012-02-24,16.5054,71232689.416625,128.930818,-0.113457,0.052992,0.849624,-0.067304
2012-02-27,18.1751,71258674.903645,296.780441,-0.112783,0.161221,0.877942,0.018808
2012-02-28,19.2245,71319491.603555,348.648649,-0.119428,0.262688,0.796315,0.143777
2012-02-29,18.4136,71365724.726905,211.985019,-0.11785,0.154874,1.072426,0.238643
2012-03-01,18.2705,71404118.89117,155.075939,-0.11785,0.156387,1.163292,0.307784
2012-03-02,18.6998,71448865.703285,138.171821,-0.094822,0.170456,1.32342,0.39233
2012-03-05,18.3659,71486998.505245,111.441602,-0.091763,0.151647,1.433851,0.4681
2012-03-06,17.8888,71519533.59568,71.712385,-0.105444,0.115782,1.517518,0.535767
2012-03-07,17.9365,71556397.27967,62.174941,-0.082037,0.104785,1.502865,0.611167
2012-03-08,18.0319,71594459.971865,53.502338,-0.080513,0.118237,1.769694,0.68542
2012-03-09,18.0319,71629494.210155,51.270879,-0.059762,0.100651,1.639093,0.743841
2012-03-12,17.9842,71659247.829495,44.216145,-0.01629,-0.011334,1.641851,0.793261
2012-03-13,17.9842,71693683.54649,35.404468,-0.01299,-0.069346,1.554891,0.822919
2012-03-14,17.2687,71713344.622865,2.319979,-0.041945,-0.067052,1.539285,0.877059
2012-03-15,16.7917,71730668.67072,-55.449937,0.003237,-0.087341,1.530324,0.888284
2012-03-16,17.0302,71748914.09611,-53.966975,0.0,-0.096172,1.481739,0.896822
2012-03-19,17.0779,71772409.23908,-56.290919,0.013032,-0.075645,1.485608,0.886949
2012-03-20,16.8394,71792048.957635,-72.717622,0.047308,-0.063413,1.421587,0.886607
2012-03-21,16.744,71806475.026775,-92.21538,0.068745,-0.071854,1.442519,0.890697
2012-03-22,16.8394,71825697.1631,-90.766435,0.121027,-0.071443,1.473703,0.903758
2012-03-23,16.41,71839784.929305,-122.350192,0.083065,-0.097162,1.540544,0.920099
2012-03-26,16.4577,71843484.642285,-112.415916,0.092806,-0.091709,1.602943,0.942271
2012-03-27,16.5531,71815066.571865,-88.065163,0.221507,-0.085977,1.414432,0.843879
2012-03-28,15.8376,71798935.70359,-126.788432,0.315867,-0.089839,1.361227,0.668611
2012-03-29,15.5514,71787185.07985,-149.116065,0.27409,-0.080264,1.305289,0.535372
2012-03-30,15.7422,71768943.501715,-134.244733,0.250062,-0.082084,1.339434,0.430615
2012-04-05,23.8966,71759431.838225,-96.871603,0.272794,-0.06365,1.272959,0.315601
2012-04-06,24.5348,71760923.50364,-37.676609,0.27053,-0.021543,1.312665,0.232046
2012-04-09,24.0385,71754637.985465,-67.394754,0.234934,-0.03716,1.310966,0.153537
2012-04-10,24.3221,71745850.489165,-66.666667,0.234101,-0.030776,1.33523,0.065302
2012-04-11,24.3221,71737062.992865,-48.60882,0.223831,-0.003165,1.369798,-0.012201
2012-04-12,24.6766,71734764.03153,-6.472492,0.245613,0.009466,1.345426,-0.077805
2012-04-13,25.173,71737147.93035,70.058997,0.25546,0.025084,1.374608,-0.13119
2012-04-16,25.0312,71744961.555535,72.817081,0.25546,0.069095,1.411868,-0.166538
2012-04-17,24.6766,71755734.18717,55.019305,0.159761,0.073843,1.380201,-0.20844
2012-04-18,25.2439,71765915.360215,78.793774,0.083632,0.086113,1.2973,-0.218289
2012-04-19,25.6694,71779113.8649,175.446704,0.111513,0.080924,1.303993,-0.210507
2012-04-20,25.8112,71797828.632475,143.004115,0.122478,0.056616,1.264041,-0.201808
2012-04-23,25.3857,71816027.632475,116.839917,0.128503,0.061107,1.318828,-0.211955
2012-04-24,24.8894,71829447.98404,37.316562,0.137358,0.025402,1.328105,-0.230565
2012-04-25,24.8894,71845033.925645,,0.094298,,1.309259,-0.268725
2012-04-26,25.1021,71859389.790785,,0.082211,0.018754,1.267412,-0.295526
2012-04-27,24.6766,71869597.956905,,0.067356,-0.021411,1.288225,-0.340218
2012-05-02,25.4567,71886841.700565,,0.066905,0.018466,1.355198,-0.337748
2012-05-03,25.3148,71904475.97821,,0.030516,0.028131,1.27718,-0.296925
2012-05-04,25.4567,71922506.27685,,0.020553,0.009148,1.255205,-0.26861
2012-05-07,25.7403,71941997.460845,,0.034255,0.002995,1.22789,-0.2456
2012-05-08,25.4567,71955121.553435,,0.043929,-0.014884,1.301452,-0.219714
2012-05-09,24.7476,71967302.152665,,0.070724,-0.027279,1.33806,-0.234596
2012-05-10,24.6057,71975799.461855,,0.047149,-0.012387,1.312698,-0.245713
2012-05-11,24.393,71982996.941065,,0.082494,,1.288358,-0.250037
2012-05-14,24.3221,71984941.25074,,0.06062,-0.03375,1.244091,-0.255117
2012-05-15,24.3221,71982202.70026,,0.070251,-0.015628,1.301984,-0.256419
2012-05-16,23.9675,71980519.87722,,0.082801,-0.063458,1.214983,-0.272941
2012-05-17,24.393,71983021.381715,,0.069095,-0.039522,1.234334,-0.29328
2012-05-18,24.2512,71980870.181325,,0.077459,-0.05137,1.145785,-0.307652
2012-05-21,24.1803,71971159.78826,,0.058078,-0.065685,1.121503,-0.33348
2012-05-22,24.4639,71959462.059745,,0.087968,-0.042305,1.117558,-0.386767
2012-05-23,24.8894,71953492.517755,,0.080404,0.006232,1.088019,-0.415186
2012-05-24,24.3221,71948282.66873,,0.064531,-0.012542,1.121316,-0.439702
2012-05-25,24.393,71944913.04275,-71.266968,0.038594,0.0,1.068503,-0.436606
2012-05-28,25.173,71946770.600365,11.323004,,0.038104,1.221722,-0.406849
2012-05-29,25.6694,71960485.9654,128.05526,0.041543,0.060331,1.237419,-0.389149
2012-05-30,25.2439,71964761.212465,87.719298,0.006291,0.058078,1.246565,-0.361097
2012-05-31,24.9603,71967604.424175,29.106415,-0.062335,0.025322,1.204063,-0.338495
2012-06-01,24.8894,71966473.36792,31.812725,-0.12269,0.028669,1.217085,-0.31515
2012-06-04,23.9675,71959175.89838,-84.329349,-0.075434,-0.009587,1.302025,-0.290189
2012-06-05,24.1094,71955882.59632,-97.323601,-0.056349,-0.015776,1.29686,-0.272154
2012-06-06,24.0385,71954089.30412,-99.543041,-0.090677,-0.03716,1.292937,-0.246653
2012-06-07,23.8257,71952914.04395,-103.756708,-0.10086,-0.022227,1.26031,-0.203236
2012-06-08,23.6839,71951642.449305,-122.540753,-0.080708,-0.031653,1.26243,-0.157163
2012-06-11,24.0385,71953950.871265,-103.238217,-0.091973,-0.04894,1.250503,-0.113338
2012-06-12,23.7548,71955409.5442,-100.061767,-0.10002,-0.080855,1.275623,-0.081195
2012-06-13,23.9675,71959772.667625,-87.481146,-0.10002,-0.05489,1.207758,-0.059592
2012-06-14,24.1094,71966126.95238,-15.316405,-0.11177,-0.037045,1.179188,-0.024748
2012-06-15,24.2512,71975789.823075,-41.505312,-0.094575,-0.02787,1.178757,0.008923
2012-06-18,23.9675,71987671.104805,-6.394884,-0.059893,0.016133,1.234427,0.026081
2012-06-19,23.6839,71997416.394055,-43.168278,-0.033958,-0.003206,1.262178,0.052141
2012-06-20,23.613,72003307.060305,-47.275641,-0.036482,-0.003216,1.313666,0.095065
2012-06-21,23.4003,72010717.64404,-80.527663,-0.021217,-0.003247,1.262742,0.11262
2012-06-25,22.833,72014809.50473,-137.432519,-0.030776,-0.022881,1.22234,0.142375
2012-06-26,22.833,72013674.181825,-168.498168,-0.021677,-0.038594,1.248905,0.14808
2012-06-27,22.7621,72002024.343,-158.202717,0.006155,-0.029323,1.141151,0.126624
2012-06-28,22.1948,71993732.873025,-208.29455,0.056975,-0.064531,1.131917,0.091981
2012-06-29,22.3366,71991037.27942,-208.687441,0.034708,-0.064117,1.06405,0.056905
2012-07-02,28.1303,71988346.03972,-176.470588,0.015677,-0.086006,1.0269,0.021773
2012-07-03,28.1303,71988244.42346,-153.758623,0.062514,-0.088909,1.030365,-0.014793
2012-07-04,28.1303,71986572.02722,-127.618309,0.040278,-0.077188,0.914441,-0.048109
2012-07-05,27.7673,71984919.005005,-133.4283,0.03312,-0.087116,0.897261,-0.083936
2012-07-06,28.3118,71985827.675275,-98.694251,0.006474,-0.058645,0.972752,-0.11531
2012-07-09,27.4951,71986342.36996,-110.613333,-0.031453,-0.06356,1.028303,-0.149175
2012-07-10,27.6766,71986388.284075,-104.526749,-0.016081,-0.05687,1.02435,-0.180708
2012-07-11,27.7673,71988094.557225,-88.386124,-0.012701,-0.050347,0.98828,-0.216405
2012-07-12,27.7673,71988284.45889,-83.909082,-0.025402,-0.024144,0.944701,-0.250044
2012-07-13,27.5859,71983805.889655,-81.910183,-0.031257,-0.03768,0.957914,-0.278438
2012-07-16,27.2229,71976430.546395,-93.400447,-0.045881,-0.034852,0.924104,-0.319283
2012-07-17,27.4044,71969093.658115,-94.670145,-0.033853,-0.027881,0.928095,-0.361497
2012-07-18,27.5859,71963818.082335,-77.552472,-0.015628,-0.020911,0.937424,-0.389764
2012-07-19,27.7673,71960886.569005,-44.67354,-0.05184,0.0,0.948022,-0.416875
2012-07-20,27.5859,71958085.96212,-53.853296,-0.071871,-0.027688,0.931469,-0.445915
2012-07-23,27.3136,71955883.872225,-82.980724,-0.086328,-0.007145,0.943369,-0.469064
2012-07-24,27.4044,71954369.36031,-75.522956,-0.093959,-0.010641,0.919668,-0.497331
2012-07-25,27.4044,71953812.27994,-75.601375,-0.07432,-0.014138,0.900391,-0.516511
2012-07-26,27.3136,71953791.858065,-94.781044,,-0.017672,0.896618,-0.523351
2012-07-27,27.1321,71950547.99522,-121.212121,-0.110453,-0.017798,0.837797,-0.512608
2012-07-30,27.1321,71949259.02046,-127.516779,-0.087519,-0.003611,0.863631,-0.4937
2012-07-31,26.3155,71946332.092185,-278.431373,-0.132959,-0.043022,0.872524,-0.476357
2012-08-01,26.4969,71944201.96093,-248.563218,-0.127687,-0.042715,0.86622,-0.461041
2012-08-02,26.2247,71942586.874695,-208.485958,-0.132959,-0.060086,0.869641,-0.452274
2012-08-03,26.4062,71940478.808965,-168.690958,-0.155256,-0.046275,0.878109,-0.437732
2012-08-06,26.8599,71941433.21882,-84.737111,-0.126915,-0.01799,0.88525,-0.428224
2012-08-07,27.0414,71942341.29821,-38.022814,-0.127754,-0.014341,0.770214,-0.407921
2012-08-08,27.0414,71942438.76759,-7.905138,-0.116013,-0.014341,0.792617,-0.399678
2012-08-09,27.3136,71943564.513925,7.168459,-0.104454,0.0,0.830834,-0.382608
2012-08-10,27.3136,71945787.959285,27.623523,-0.10161,0.007248,0.863504,-0.354726
