date,PE,OBV20,CCI20,MOMENTUM3M,REVS10,BETA21,CAPMALPHA21
2012-01-04,7.0734,332983586.482735,156.462585,0.125489,0.022203,0.416927,0.162278
2012-01-05,7.1236,333073013.044455,213.350504,0.145497,0.044805,0.437219,0.152749
2012-01-06,7.1739,333207317.203045,248.616004,0.106698,0.067815,0.49725,0.189286
2012-01-09,7.2242,333386334.628825,199.475066,0.086877,0.071688,0.446544,0.247036
2012-01-10,7.2912,333594837.12726,189.774789,0.051597,0.079933,0.428449,0.312976
2012-01-11,7.2912,333814492.974915,161.819538,0.022708,0.079933,0.435033,0.356801
2012-01-12,7.2577,334002971.925695,130.287648,-0.004521,0.071051,0.397955,0.424314
2012-01-13,7.2745,334225235.246785,122.174122,0.004501,0.066024,0.444656,0.49187
2012-01-16,7.2242,334411342.57647,86.124402,-0.022402,0.048205,0.441484,0.569007
2012-01-17,7.308,334604770.170215,95.76941,-0.026644,0.051682,0.436064,0.633981
2012-01-18,7.2242,334768529.204585,72.287276,-0.004421,0.039098,0.446433,0.663021
2012-01-19,7.308,334994466.737395,81.860465,0.004461,0.047172,0.470397,0.700848
2012-01-20,7.308,335234940.795205,89.089327,0.0,0.033871,0.446616,0.730912
2012-01-30,7.1572,335429637.165515,33.436746,-0.02641,-0.016723,0.529444,0.732934
2012-01-31,7.2074,335628036.540515,21.701885,-0.038761,-0.02056,0.528924,0.738474
2012-02-01,7.1739,335816383.81317,-1.112966,-0.03843,-0.028784,0.531966,0.746643
2012-02-02,7.3415,336043803.9952,85.858586,-0.054578,0.020731,0.617766,0.754482
2012-02-03,7.3918,336284301.913165,149.522203,-0.054578,0.028903,0.631881,0.760195
2012-02-06,7.3918,336502088.09363,164.486543,-0.054124,0.041808,0.635027,0.749058
2012-02-07,7.2577,336677303.792845,50.761421,-0.041983,-0.012286,0.700759,0.72012
2012-02-08,7.3918,336889094.390495,115.858353,-0.033307,0.041808,0.733637,0.710776
2012-02-09,7.4086,337120037.106895,158.117079,-0.041634,0.024571,0.74635,0.69636
2012-02-10,7.3583,337301529.54986,123.842593,-0.037161,0.012286,0.786229,0.658371
2012-02-13,7.3248,337432416.361575,54.901961,-0.012542,0.042519,0.78969,0.585541
2012-02-14,7.2912,337489622.89204,-9.592326,-0.008292,0.020992,0.842009,0.511983
2012-02-15,7.3248,337578463.02563,34.672971,-0.004095,0.038105,0.886478,0.44017
2012-02-16,7.3583,337733851.274845,73.226545,0.047375,0.004062,0.87268,0.378268
2012-02-17,7.3583,337864509.80375,65.930018,0.016864,-0.008026,0.870087,0.317316
2012-02-20,7.3751,338027951.527185,93.186004,-0.004112,-0.004013,0.929125,0.251719
2012-02-21,7.4756,338195470.128745,156.982671,-0.004163,0.053899,0.979627,0.18448
2012-02-22,7.4421,338356449.25218,111.391553,0.033871,0.012039,1.232271,0.117636
2012-02-23,7.4421,338469477.506865,,0.004198,,1.234319,0.067422
2012-02-24,7.4421,338582505.76155,,0.02519,0.020227,1.150632,0.003345
2012-02-27,7.4421,338727700.878735,,0.047172,0.028549,1.203852,-0.056233
2012-02-28,7.4589,338895733.65295,,0.021721,0.04112,1.086245,-0.080419
2012-02-29,7.4253,339041595.27951,,0.025841,0.024471,1.066535,-0.110239
2012-03-01,7.3918,339130432.746695,,0.0,0.008091,1.137469,-0.148219
2012-03-02,7.4253,339213328.623255,,0.069508,0.016182,0.909645,-0.204146
2012-03-05,7.3415,339263726.624815,,0.077858,-0.008058,0.952731,-0.272246
2012-03-06,7.2745,339307461.87325,,,-0.047209,0.940301,-0.33652
2012-03-07,7.241,339294692.970125,,0.061622,-0.047583,0.833548,-0.373502
2012-03-08,7.2577,339265996.5795,,0.05504,,0.631529,-0.417287
2012-03-09,7.2577,339263696.642,,0.072902,-0.043618,0.617242,-0.464999
2012-03-12,7.2577,339283368.317,,0.046573,-0.043618,0.592764,-0.482329
2012-03-13,7.2745,339353329.99825,,0.074499,-0.043446,0.587539,-0.487512
2012-03-14,7.241,339351376.213875,,0.079933,-0.043792,0.450543,-0.484069
