date,PE,OBV20,CCI20,MOMENTUM3M,REVS10,BETA21,CAPMALPHA21
2012-01-04,11.7406,53505490.23445,,0.035075,0.022112,1.203711,0.118666
2012-01-05,11.7132,53493875.08855,,0.017925,0.009011,1.220094,0.109736
2012-01-06,11.8915,53487611.40964,,0.04001,0.03642,1.243339,0.104591
2012-01-09,12.7281,53497856.483075,,0.027684,0.086098,1.56962,0.146359
2012-01-10,13.1259,53526856.19831,,0.054808,0.093735,1.40587,0.177702
2012-01-11,13.071,53549964.653975,,-0.00241,0.105158,1.388766,0.224408
2012-01-12,13.0573,53571136.29714,,-0.019235,0.102526,1.379855,0.271358
2012-01-13,12.7418,53589932.3782,,-0.043073,0.067097,1.433164,0.341524
2012-01-16,12.591,53611241.951835,,-0.059326,0.030384,1.38718,0.422703
2012-01-17,13.4276,53642014.484845,128.278041,-0.073099,0.093885,1.342102,0.512673
2012-01-18,12.9887,53664971.774885,112.111193,,0.115806,1.473289,0.641936
2012-01-19,13.1396,53688004.10985,97.402404,-0.03996,0.132687,1.424941,0.738517
2012-01-20,13.2493,53718951.77626,95.62432,-0.027541,0.124247,1.405629,0.801672
2012-01-30,12.9202,53738618.60673,64.86324,-0.073512,0.016321,1.441137,0.849418
2012-01-31,12.8927,53745265.688375,46.06083,-0.06951,-0.01917,1.447242,0.851545
2012-02-01,12.8379,53751508.848145,35.057137,-0.054791,-0.019257,1.402758,0.838576
2012-02-02,13.167,53760921.312215,53.992435,-0.076318,0.009072,1.381479,0.827262
2012-02-03,13.167,53766209.983315,61.512884,-0.106169,0.036097,1.411253,0.799124
2012-02-06,13.3042,53770910.887615,90.543906,-0.099575,0.061335,1.404049,0.780118
2012-02-07,12.9887,53766791.791525,40.712802,-0.087603,-0.035211,1.405946,0.736087
2012-02-08,13.4688,53777819.934495,92.072266,-0.087835,0.039918,1.419461,0.696911
2012-02-09,13.3179,53787024.027855,105.966873,-0.128632,0.014643,1.358073,0.673359
2012-02-10,13.2493,53788064.282155,93.802831,-0.142263,0.0,1.379577,0.637736
2012-02-13,13.2493,53777301.53411,75.919752,-0.13089,0.027529,1.376826,0.597087
2012-02-14,13.0985,53747486.749735,14.72363,-0.061283,0.017245,1.261764,0.504257
2012-02-15,13.4139,53735275.54739,93.913043,-0.035877,0.04851,1.311527,0.433179
2012-02-16,13.1945,53721356.095825,35.470668,-0.022153,0.002248,1.327442,0.348235
2012-02-17,13.1122,53709887.705195,3.634476,-0.024342,-0.004495,1.329482,0.260516
2012-02-20,13.3179,53713496.17355,98.550725,-0.109867,0.001111,1.320036,0.193064
2012-02-21,13.3865,53712102.691125,77.595628,-0.128495,0.033075,1.381717,0.105497
2012-02-22,13.6059,53727086.56964,170.818937,-0.026772,0.010967,1.302344,0.010755
2012-02-23,13.5922,53728855.15792,186.011424,-0.075885,0.022202,1.230326,-0.079452
2012-02-24,13.8665,53736986.472765,224.397317,-0.025253,0.050234,1.292673,-0.148816
2012-02-27,13.7431,53738499.89855,199.833541,-0.001115,0.040188,1.322637,-0.208201
2012-02-28,13.6471,53737679.788005,119.340032,-0.021329,0.045208,1.313256,-0.262332
2012-02-29,13.5785,53734399.042695,92.02355,0.008113,0.013219,1.245044,-0.289567
2012-03-01,13.5511,53721327.6884,61.273337,0.006978,0.029155,1.352129,-0.332457
2012-03-02,13.7294,53714854.432545,101.581509,0.039729,0.050802,1.311075,-0.375029
2012-03-05,13.5922,53697527.328645,70.186947,0.021819,0.022202,1.326577,-0.395559
2012-03-06,13.167,53673241.386075,-54.194933,0.010103,-0.017664,1.42808,-0.438731
2012-03-07,13.0024,53635283.41421,-125.503742,0.028143,-0.047733,1.467703,-0.475374
2012-03-08,13.1259,53608558.68883,-86.358636,0.049494,-0.036924,1.408628,-0.519265
2012-03-09,13.3453,53593694.480245,-40.979098,0.052582,-0.040391,1.437421,-0.563781
2012-03-12,13.1396,53570604.68494,-77.757564,0.051655,-0.04722,1.466762,-0.599963
2012-03-13,13.2219,53560661.9869,-72.083079,0.044299,-0.033521,1.455054,-0.637618
2012-03-14,12.7418,53527884.179485,-132.048739,0.036308,-0.066319,1.374938,-0.653708
2012-03-15,12.495,53493251.550195,-191.648974,0.072036,-0.083896,1.348249,-0.69238
2012-03-16,12.6321,53468504.94864,-174.330392,0.077313,-0.085948,1.318223,-0.721744
2012-03-19,12.6458,53441766.88146,-133.380117,0.085805,-0.074935,1.317974,-0.744234
2012-03-20,12.5361,53403223.82209,-121.289228,0.126282,-0.051697,1.200915,-0.776468
2012-03-21,12.6321,53364732.49006,-99.151515,0.142533,-0.030759,1.206492,-0.787879
2012-03-22,12.6321,53333440.78381,-96.896682,0.211619,-0.040595,1.183985,-0.798363
2012-03-23,12.5087,53286630.90842,-101.077711,,-0.067568,1.158185,-0.811366
2012-03-26,12.495,53249173.0801,-96.422074,0.223725,-0.05294,1.122691,-0.832148
2012-03-27,12.5635,53222805.46272,-72.633105,0.199537,-0.053703,1.13382,-0.834706
2012-03-28,12.1521,53196178.721905,-116.920251,0.202914,-0.05007,1.156632,-0.82905
2012-03-29,12.1384,53168028.753355,-131.545418,0.164599,-0.030923,1.125369,-0.829908
2012-03-30,12.4675,53139650.72191,-79.930096,0.131968,-0.014104,1.196662,-0.798853
2012-04-05,12.1105,53124701.429135,-57.678981,0.165248,-0.007044,1.071435,-0.779386
2012-04-06,12.0047,53116820.73753,-55.396028,0.151288,-0.007111,1.050243,-0.769996
2012-04-09,11.7667,53111091.797095,-106.128125,0.105616,-0.036436,1.020661,-0.742961
2012-04-10,11.8725,53103756.65939,-112.573701,0.066845,-0.027033,1.017677,-0.709239
2012-04-11,11.8725,53089443.695905,,0.067405,,1.023843,-0.671704
2012-04-12,12.1501,53083356.31914,,0.148893,0.009515,1.038253,-0.642041
2012-04-13,12.1369,53063784.805265,,0.132687,0.002365,1.024536,-0.605853
2012-04-16,12.084,53054587.275765,,0.121737,0.034322,1.032937,-0.564332
2012-04-17,11.9782,53052824.610325,,0.001166,0.025773,0.942568,-0.523134
2012-04-18,12.2427,53051616.269885,,-0.051872,0.020267,0.933026,-0.461612
2012-04-19,12.1633,53038547.834525,,-0.036248,0.004729,0.945071,-0.404208
2012-04-20,12.2823,53039217.724165,,-0.034021,0.025066,0.942375,-0.349569
2012-04-23,12.1766,53027516.423575,,-0.017466,0.037814,0.981623,-0.302336
2012-04-24,12.1369,53009842.783925,,0.003539,0.02416,0.981358,-0.267791
2012-04-25,12.3352,53004989.52904,,-0.06382,,1.00802,-0.229061
2012-04-26,12.441,53012930.59505,,-0.039918,0.025919,1.015321,-0.19155
2012-04-27,12.4674,53023109.734885,,-0.05294,0.029488,1.009439,-0.146655
